sample_id,collection_date,sampled_at,survey_date_uk,latitude,longitude,soil_horizon,land_use,ph,organic_carbon_pct,bulk_density_g_cm3,total_nitrogen,notes,analyst_orcid
PDS-2024-001,2024-05-14,2024-05-14T09:12:00+01:00,14/05/2024,53.3421,-1.8102,O,rough grazing,4.8,11.2,0.62,0.41,Waterlogged at time of sampling,0000-0002-1825-0097
PDS-2024-002,2024-05-14,2024-05-14T09:48:00+01:00,14/05/2024,53.3418,-1.8095,A,rough grazing,5.1,7.4,0.81,0.29,,0000-0002-1825-0097
PDS-2024-003,2024-05-14,2024-05-14T10:21:00+01:00,14/05/2024,53.3402,-1.8077,B,rough grazing,5.6,2.1,1.14,0.11,,0000-0002-1825-0097
PDS-2024-004,2024-05-15,2024-05-15T08:55:00+01:00,15/05/2024,53.3510,-1.7994,O,improved pasture,5.4,9.8,0.68,0.38,,0000-0002-1825-0097
PDS-2024-005,2024-05-15,2024-05-15T09:30:00+01:00,15/05/2024,53.3507,-1.7988,A,improved pasture,5.9,6.2,0.88,0.24,Root mat dense to 8 cm,0000-0002-1825-0097
PDS-2024-006,2024-05-15,2024-05-15T10:05:00+01:00,15/05/2024,53.3499,-1.7971,B,improved pasture,6.2,1.7,1.22,0.09,,0000-0002-1825-0097
PDS-2024-007,2024-05-15,2024-05-15T11:14:00+01:00,15/05/2024,53.3488,-1.7955,O,moorland,4.2,18.6,0.44,0.62,"Deep peat, horizon boundary indistinct",0000-0002-1825-0097
PDS-2024-008,2024-05-15,2024-05-15T11:52:00+01:00,15/05/2024,53.3485,-1.7949,A,moorland,4.4,14.1,0.55,0.49,,0000-0002-1825-0097
PDS-2024-009,2024-05-16,2024-05-16T09:03:00+01:00,16/05/2024,53.3472,-1.7930,B,moorland,4.7,4.3,0.97,0.18,,0000-0003-4641-2246
PDS-2024-010,2024-05-16,2024-05-16T09:41:00+01:00,16/05/2024,53.3466,-1.7918,O,rough grazing,4.9,10.7,0.64,0.40,,0000-0003-4641-2246
PDS-2024-011,2024-05-16,2024-05-16T10:18:00+01:00,16/05/2024,53.3461,-1.7906,A,rough grazing,5.2,7.1,0.83,0.28,,0000-0003-4641-2246
PDS-2024-012,2024-05-16,2024-05-16T11:02:00+01:00,16/05/2024,53.3455,-1.7894,B,rough grazing,5.7,2.4,1.11,0.12,,0000-0003-4641-2246
PDS-2024-013,2024-05-17,2024-05-17T08:47:00+01:00,17/05/2024,53.3601,-1.8210,O,improved pasture,5.5,9.1,0.70,0.36,Reseeded 2019 per farm records,0000-0003-4641-2246
PDS-2024-014,2024-05-17,2024-05-17T09:22:00+01:00,17/05/2024,53.3598,-1.8204,A,improved pasture,6.0,5.8,0.90,0.23,,0000-0003-4641-2246
PDS-2024-015,2024-05-17,2024-05-17T10:00:00+01:00,17/05/2024,53.3590,-1.8191,B,improved pasture,6.4,1.5,1.26,0.08,,0000-0003-4641-2246
PDS-2024-016,2024-05-17,2024-05-17T10:44:00+01:00,17/05/2024,53.3582,-1.8177,O,moorland,4.1,19.8,0.42,0.65,,0000-0003-4641-2246
PDS-2024-017,2024-05-20,2024-05-20T09:09:00+01:00,20/05/2024,53.3577,-1.8166,A,moorland,4.3,15.3,0.53,0.51,,0000-0003-4641-2246
PDS-2024-018,2024-05-20,2024-05-20T09:46:00+01:00,20/05/2024,53.3570,-1.8152,B,moorland,4.6,4.9,0.94,0.20,Stony below 30 cm; auger refusal,0000-0003-4641-2246
PDS-2024-019,2024-05-20,2024-05-20T10:29:00+01:00,20/05/2024,53.3312,-1.7845,O,rough grazing,5.0,10.2,0.66,0.39,,0000-0002-1825-0097
PDS-2024-020,2024-05-20,2024-05-20T11:07:00+01:00,20/05/2024,53.3308,-1.7838,A,rough grazing,5.3,6.8,0.85,0.27,,0000-0002-1825-0097
PDS-2024-021,2024-05-21,2024-05-21T08:58:00+01:00,21/05/2024,53.3301,-1.7826,B,rough grazing,5.8,2.2,1.13,0.11,,0000-0002-1825-0097
PDS-2024-022,2024-05-21,2024-05-21T09:35:00+01:00,21/05/2024,53.3295,-1.7814,O,improved pasture,5.6,8.7,0.72,0.35,,0000-0002-1825-0097
PDS-2024-023,2024-05-21,2024-05-21T10:13:00+01:00,21/05/2024,53.3290,-1.7803,A,improved pasture,6.1,5.4,0.92,0.22,,0000-0002-1825-0097
PDS-2024-024,2024-05-21,2024-05-21T10:57:00+01:00,21/05/2024,53.3284,-1.7791,B,improved pasture,6.5,1.3,1.29,0.07,,0000-0002-1825-0097
PDS-2024-025,2024-05-22,2024-05-22T09:04:00+01:00,22/05/2024,53.3279,-1.7780,O,moorland,4.0,20.4,0.41,0.67,Sphagnum cover approx 60 per cent,0000-0002-1825-0097
PDS-2024-026,2024-05-22,2024-05-22T09:42:00+01:00,22/05/2024,53.3273,-1.7768,A,moorland,4.2,16.0,0.51,0.53,,0000-0002-1825-0097
PDS-2024-027,2024-05-22,2024-05-22T10:20:00+01:00,22/05/2024,53.3268,-1.7757,B,moorland,4.5,5.2,0.92,0.21,,0000-0002-1825-0097
PDS-2024-028,2024-06-03,2024-06-03T09:11:00+01:00,03/06/2024,53.3705,-1.8402,O,rough grazing,4.7,12.1,0.60,0.43,,0000-0001-5109-3700
PDS-2024-029,2024-06-03,2024-06-03T09:49:00+01:00,03/06/2024,53.3700,-1.8395,A,rough grazing,5.0,7.8,0.80,0.30,,0000-0001-5109-3700
PDS-2024-030,2024-06-03,2024-06-03T10:26:00+01:00,03/06/2024,53.3694,-1.8383,B,rough grazing,5.5,2.6,1.09,0.13,,0000-0001-5109-3700
PDS-2024-031,2024-06-04,2024-06-04T08:52:00+01:00,04/06/2024,53.3688,-1.8371,O,improved pasture,5.3,9.4,0.69,0.37,Lime applied spring 2024,0000-0001-5109-3700
PDS-2024-032,2024-06-04,2024-06-04T09:29:00+01:00,04/06/2024,53.3683,-1.8360,A,improved pasture,5.8,6.0,0.89,0.24,,0000-0001-5109-3700
PDS-2024-033,2024-06-04,2024-06-04T10:07:00+01:00,04/06/2024,53.3677,-1.8348,B,improved pasture,6.3,1.6,1.24,0.08,,0000-0001-5109-3700
PDS-2024-034,2024-06-04,2024-06-04T10:51:00+01:00,04/06/2024,53.3671,-1.8337,O,moorland,4.3,17.9,0.45,0.60,,0000-0001-5109-3700
PDS-2024-035,2024-06-05,2024-06-05T09:06:00+01:00,05/06/2024,53.3666,-1.8325,A,moorland,4.5,13.6,0.56,0.47,,0000-0001-5109-3700
PDS-2024-036,2024-06-05,2024-06-05T09:44:00+01:00,05/06/2024,53.3660,-1.8314,B,moorland,4.8,4.1,0.99,0.17,,0000-0001-5109-3700
PDS-2024-037,2024-06-05,2024-06-05T10:22:00+01:00,05/06/2024,53.3655,-1.8302,O,rough grazing,4.9,11.5,0.63,0.41,Sample split for archive,0000-0001-5109-3700
PDS-2024-038,2024-06-05,2024-06-05T11:00:00+01:00,05/06/2024,53.3649,-1.8291,A,rough grazing,5.2,7.3,0.82,0.28,,0000-0001-5109-3700
PDS-2024-039,2024-06-06,2024-06-06T09:15:00+01:00,06/06/2024,53.3644,-1.8279,B,rough grazing,5.6,2.3,1.12,0.12,,0000-0001-5109-3700
PDS-2024-040,2024-06-06,2024-06-06T09:53:00+01:00,06/06/2024,53.3638,-1.8268,O,improved pasture,5.7,8.9,0.71,0.34,,0000-0001-5109-3700
